Date,Portfolio Value,Daily Returns
2021-12-08,100533.28720462986,0.00533287204629852
2021-12-09,99434.62792094985,-0.010928313539014835
2021-12-10,99971.6168410702,0.005400421677519119
2021-12-13,98293.08511254782,-0.016790082841121025
2021-12-14,97830.22252880059,-0.004709004536964679
2021-12-15,99941.1530967696,0.021577489178741076
2021-12-16,97847.48296673241,-0.020949029155286594
2021-12-17,96851.50083481762,-0.010178924400675837
2021-12-20,95526.19914628303,-0.013683852879006144
2021-12-21,97785.89111080542,0.02365520647442529
2021-12-22,99278.29494702646,0.015261954656934274
2021-12-23,100185.04579674284,0.009133424886076203
2021-12-27,101842.67140974755,0.016545639120310787
2021-12-28,101560.39144092903,-0.002771725887696064
2021-12-29,101344.22187116467,-0.002128483030612316
2021-12-30,100914.61202512513,-0.004239115344787025
2021-12-31,100024.396618171,-0.00882147182741466
2022-01-03,102575.7099561548,0.025506910556262342
2022-01-04,101690.31453888786,-0.008631628459070695
2022-01-05,98637.62212215195,-0.03001950019112701
2022-01-06,98631.6984133186,-6.005526801955415e-05
2022-01-07,97962.33193697825,-0.006786524891169887
2022-01-10,98002.47458611579,0.00040977637367148887
2022-01-11,98912.41781930976,0.009284900580692956
2022-01-12,99605.4747009053,0.0070067732330797335
2022-01-13,97066.28565709502,-0.025492464660551464
2022-01-14,97206.68722355599,0.001446450387078314
2022-01-18,94992.85318520156,-0.022774503499569432
2022-01-19,93789.58857105147,-0.012666896232752979
2022-01-20,92640.1023957967,-0.012256010424696262
2022-01-21,89870.53607872006,-0.02989597642329778
2022-01-24,89729.54026855892,-0.0015688769235519095
2022-01-25,88438.43100824789,-0.014388898644156226
2022-01-26,89265.98400664174,0.009357391226407854
2022-01-27,87983.43188156202,-0.014367758775664133
2022-01-28,91240.90201421431,0.03702367665127324
2022-01-31,94106.20177310237,0.03140367637358155
2022-02-01,94812.50846772282,0.007505421335815809
2022-02-02,95945.1420199116,0.011946035080111495
2022-02-03,90927.38237602165,-0.05229821477411138
2022-02-04,92793.79992402604,0.020526462977741987
2022-02-07,91824.57684245084,-0.01044491207784073
2022-02-08,92644.3791437709,0.008927918096771058
2022-02-09,94400.10435159058,0.018951232919323012
2022-02-10,92479.93209892993,-0.020340785276137145
2022-02-11,89723.94750209918,-0.029800893386065088
2022-02-14,89965.92236413268,0.0026968815881383665
2022-02-15,92256.07205484841,0.02545574624852358
2022-02-16,92283.1595926622,0.000293612520134945
2022-02-17,89284.42729060285,-0.03249490281104097
2022-02-18,88143.33908405743,-0.01278037213400508
2022-02-22,86978.54085344306,-0.013214818529889904
2022-02-23,84541.50672676096,-0.028018797542125363
2022-02-24,86799.98342790043,0.026714412701903834
2022-02-25,88331.7629842224,0.017647233280802713
2022-02-28,88612.1645753528,0.0031744140687024252
2022-03-01,86823.7951280399,-0.020181985801646107
2022-03-02,88139.16706285732,0.015149901393709343
2022-03-03,86917.02937169153,-0.013866000007626745
2022-03-04,85412.8980730558,-0.017305369379382173
2022-03-07,81977.44059793347,-0.04022176454174277
2022-03-08,81960.085257472,-0.00021170873760979465
2022-03-09,85199.07341391016,0.039519092083214497
2022-03-10,84639.24408070688,-0.0065708382822843095
2022-03-11,82803.6144449816,-0.021687689388800904
2022-03-14,81733.09366649982,-0.012928430548078098
2022-03-15,84659.50358412068,0.03580446776628406
2022-03-16,87728.92537189942,0.03625608062689428
2022-03-17,88980.55765105502,0.014267042185341873
2022-03-18,91158.27393505111,0.024474068734612844
2022-03-21,91190.87702937583,0.00035765370401746855
2022-03-22,93056.857249678,0.02046235633528409
2022-03-23,92021.00705729316,-0.011131368745944049
2022-03-24,94127.454845919,0.02289094475258631
2022-03-25,94354.86521346972,0.0024159833910624264
2022-03-28,95940.25530230127,0.01680242015337247
2022-03-29,97180.11135166242,0.012923209819011185
2022-03-30,96273.63904125628,-0.009327755420303263
2022-03-31,94520.30659020614,-0.018211968182679616
2022-04-01,94789.4468893011,0.002847433623568741
2022-04-04,96803.50795122574,0.021247735143731107
2022-04-05,94917.81574554805,-0.019479585457045555
2022-04-06,92330.42412783006,-0.027259283174553554
2022-04-07,92142.94256798601,-0.002030550185543368
2022-04-08,91033.51704481638,-0.012040265833176068
2022-04-11,88546.09321604892,-0.02732426373840843
2022-04-12,88058.82492700483,-0.005502990265817531
2022-04-13,89272.67152903348,0.0137844969318505
2022-04-14,87279.22798402574,-0.02232982962047265
2022-04-18,87896.19083256516,0.007068839433964038
2022-04-19,89840.75967241722,0.022123471124662245
2022-04-20,88220.0498973368,-0.018039804883551128
2022-04-21,86517.38495201341,-0.019300203834670217
2022-04-22,84312.73714291916,-0.025482136455199672
2022-04-25,85435.5500802067,0.013317239782931535
2022-04-26,81630.00168738434,-0.04454291438692321
2022-04-27,81561.97871825843,-0.0008333084370919395
2022-04-28,85238.93891273883,0.04508179242661366
2022-04-29,81534.62195089197,-0.04345803700863819
2022-05-02,83045.27520199913,0.018527751953238115
2022-05-03,83251.4915642935,0.0024831799496449754
2022-05-04,86054.28202010649,0.033666549429309134
2022-05-05,81462.32856180971,-0.05336112684344828
2022-05-06,80808.63107445491,-0.008024537217332428
2022-05-09,77346.55024010413,-0.0428429585839773
2022-05-10,78051.90909739867,0.009119461115006755
2022-05-11,75694.82127107464,-0.030198977239399703
2022-05-12,75209.68643522184,-0.006409088861118451
2022-05-13,77923.65870948821,0.03608540871399469
2022-05-16,76936.99506115545,-0.012661926617321751
2022-05-17,79171.30521336634,0.0290407774625834
2022-05-18,75564.95711548282,-0.04555120176640318
2022-05-19,75026.34164418126,-0.007127847243774688
2022-05-20,74492.11085557744,-0.007120576278894786
2022-05-23,76453.91375721716,0.026335713662929805
2022-05-24,74213.99717338814,-0.029297605233683334
2022-05-25,75351.24677419204,0.01532392330447996
2022-05-26,77634.1445375135,0.03029674837581244
2022-05-27,80245.14670706337,0.03363213680145862
2022-05-31,80445.88176386798,0.0025015227093721283
2022-06-01,79706.19066131419,-0.009194890855009675
2022-06-02,82070.71562615597,0.02966551211673226
2022-06-03,79501.08550953826,-0.03130995138780986
2022-06-06,80105.89503855974,0.007607563156466735
2022-06-07,80571.8080927783,0.0058162143247295186
2022-06-08,80164.14751441545,-0.005059593274776997
2022-06-09,77763.03374798658,-0.029952464298296025
2022-06-10,74712.17920174358,-0.03923270992911855
2022-06-13,71215.96936335534,-0.04679571491212301
2022-06-14,71309.33726243165,0.0013110528426556805
2022-06-15,73446.99037748063,0.029977183873999856
