,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,JPM,JPM,JPM,JPM,JPM,JNJ,JNJ,JNJ,JNJ,JNJ,V,V,V,V,V
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-17,167.62367248535156,169.90580094866743,166.20346789014454,166.43852716670187,195432700,313.3033447265625,314.38706242508175,306.9656882694308,310.4780190725008,47750300,140.75421142578125,142.84925876287545,140.33211958011196,141.5238967322668,50416000,170.0175018310547,170.89849853515625,165.61349487304688,167.7104949951172,85542000,310.8566589355469,320.2200012207031,303.0133361816406,304.92333984375,100437300,331.7449035644531,335.0445391358006,328.72352091142955,330.76094859133923,40012600,27.747251510620117,28.866084513821278,27.706330412496648,27.930895789317223,713758000,141.1356201171875,143.4944922917511,139.71309813437082,143.4404747302917,28082000,149.63278198242188,151.90089147768785,149.12580046530715,150.88691487147295,16726200,205.58966064453125,206.88017706326727,201.6210742899168,206.48234568789655,11578400
2021-12-20,166.26220703125,167.07515510943043,164.01926542394992,164.82240940360504,107499100,309.5394287109375,312.33572775319794,307.2752884173399,309.6748749533144,28326500,140.6370086669922,140.80337222903077,138.36667189829006,139.0410217021847,27192000,167.07899475097656,167.87449645996094,165.60000610351562,166.85000610351562,57372000,299.9800109863281,307.2300109863281,297.7966613769531,303.5666809082031,56480100,323.45599365234375,327.8787104909013,320.55387102422975,327.75945057875657,17901800,27.6654052734375,28.08958277596045,27.092515694370984,27.252206182638034,461847000,138.59669494628906,139.2809402701443,136.70599791693775,139.10987550469676,15148000,149.205810546875,149.8817902571798,148.13846916197932,149.25917558032248,7954500,202.5428924560547,203.54231243543103,200.71870151624552,202.88249270592812,9434400
2021-12-21,169.43563842773438,169.6413152594918,165.64514384449987,168.03501238197,91185900,316.68017578125,317.1059145659694,309.4329606924699,312.8098446680069,24740600,142.48973083496094,142.8835144844595,139.54007383647323,141.08044454407118,28756000,170.41700744628906,170.7165069580078,165.6475067138672,167.85049438476562,55956000,312.84332275390625,313.1666564941406,295.3733215332031,305.6233215332031,71517900,332.1523742675781,333.9413335651525,321.76638911225626,324.41009497598543,16116800,29.018787384033203,29.063700457531855,27.348022192079924,28.319142478736474,524385000,140.5324249267578,141.51378076069264,139.63209544873962,139.92020747591548,11291300,148.72555541992188,149.5171686501956,147.63151762452068,149.48158290277541,7954200,208.98574829101562,209.74259026734546,204.11477918747624,204.35735712362765,6993700
2021-12-22,172.0312042236328,172.24668517933623,168.6129062856775,169.48461926274177,92135300,322.3986511230469,322.7953341481106,315.19014632592007,317.6574710399496,24831500,145.41207885742188,145.49650329171536,142.0875201032057,142.0875201032057,26322000,171.03700256347656,172.0500030517578,168.50050354003906,169.27000427246094,55036000,336.2900085449219,338.5533447265625,319.01666259765625,321.88665771484375,93634200,328.42535400390625,332.46047606830115,326.2487696476689,331.7548043808869,16764600,29.34316062927246,29.497861653248666,28.393998983391853,28.8351458054204,395184000,141.08160400390625,141.40572311392486,139.76713086845078,140.22629388350407,7273000,149.3659210205078,149.57939474825127,147.7560123432283,148.59210081191085,4178200,211.48915100097656,212.44005234992864,207.50116920192184,207.50116920192184,6003400
2021-12-23,172.6580352783203,173.21633086134378,171.6687927754853,172.23687751170715,68356600,323.84033203125,325.48523481760844,321.9438777632381,321.9632187915845,19617800,145.91015625,147.2280624525813,145.44882997744546,145.49650530933746,26384000,171.06849670410156,171.97500610351562,170.14999389648438,170.42799377441406,36788000,355.6666564941406,357.6600036621094,332.5199890136719,335.6000061035156,92713200,333.1860046386719,334.60726620714684,326.3481529337001,328.0775127333061,13987700,29.58269500732422,30.00088555963705,29.374099442198006,29.697472444063603,343022000,141.5857696533203,143.26038256932688,141.54076418220257,141.90089037874716,8055200,149.65057373046875,150.27318855908106,148.8589605400934,149.32148022934197,3501500,210.18894958496094,212.03255099549872,210.18894958496094,211.95492427029654,4798200
2021-12-27,176.6248321533203,176.71297937182496,173.4318194724349,173.4513977796986,74919600,331.34881591796875,331.37784222734143,324.55636424185536,324.58539055122804,19947000,146.8933563232422,147.3278595123335,146.16140515021237,146.24731469886467,15976000,169.66949462890625,172.9429931640625,169.2154998779297,171.03700256347656,58688000,364.64666748046875,372.3333435058594,356.90667724609375,357.8900146484375,71145900,344.0589599609375,345.73860781645715,335.93903425050047,336.77388396018983,17795000,30.88517189025879,31.02689755121152,29.582694619627713,29.60265640931932,403686000,142.3960723876953,142.43207951171738,140.7574666170527,141.89189022378486,6188100,150.91360473632812,151.07371345666948,150.05083357822872,150.4421953701896,3704800,211.1689453125,211.64438858174088,208.5005880704824,211.21744905409295,4818400
2021-12-28,175.606201171875,177.6042945644057,174.86182193569553,176.45833582983963,79144300,330.18768310546875,332.664693105843,329.2878380448936,332.02608481270596,15661500,145.6822052001953,147.28316267642893,145.05404564217633,147.22059070433994,18200000,170.66099548339844,172.17599487304688,169.135498046875,170.1824951171875,54638000,362.8233337402344,373.0,359.47332763671875,369.8299865722656,60324000,344.0987548828125,350.54898176449535,343.0850152133504,344.5062465041279,16637600,30.263378143310547,31.269428770384458,29.95397610422819,31.251463920554766,420591000,142.82821655273438,144.18770863068175,142.32403442416933,142.43206952659537,6342300,151.51841735839844,151.77635291569277,150.84242397572459,151.02031197096042,3187000,211.57647705078125,213.20659366090825,209.17980587777765,209.59703281759036,4279800
2021-12-29,175.69435119628906,176.91866791508298,174.4798236309474,175.6453755384828,62348900,330.8649597167969,333.1387557390819,328.6685277999919,330.2360072562147,15042000,145.6504364013672,146.40722543558255,144.64984548921163,145.64001026436924,17788000,169.2010040283203,171.21200561523438,168.60049438476562,170.83999633789062,35754000,362.0633239746094,368.0,354.71331787109375,366.21331787109375,56154000,340.8388671875,347.54751108187537,339.5468441993426,344.78454488378634,10747000,29.942995071411133,30.488938376760974,29.309222561431618,30.214470446589925,343139000,142.75624084472656,143.7195999872199,142.387102459027,143.01734408844095,6398900,152.5857696533203,152.97713141360578,151.1270662744286,151.20711384212746,3662000,211.69293212890625,212.4400763905238,210.8778737375691,211.29510072154514,3223100
2021-12-30,174.53863525390625,176.85995053810737,174.43089475594522,175.78254555849702,59773000,328.3201904296875,332.0066783967201,327.8363990478902,330.82622624400346,15994500,145.19906616210938,146.29103742709447,144.99448351118997,145.68918557663048,15688000,168.64450073242188,170.88800048828125,168.5240020751953,169.6999969482422,37584000,356.7799987792969,365.1833190917969,351.04998779296875,353.77667236328125,47040900,342.2501220703125,345.1025633109539,341.11712252175425,341.89234231727295,10593300,29.5288028717041,30.398119287491273,29.482892273989112,29.769336178213297,308864000,142.68417358398438,144.2687618328362,142.58513681843115,143.25138539923785,6948200,153.26171875,153.7687137209688,152.76362699942297,153.09272042634373,4231800,211.40187072753906,212.64386890322535,210.70324490299228,211.4989078498652,3812800
2021-12-31,173.9215545654297,175.5474359178977,173.61791144491113,174.43085959378186,64062300,325.4175720214844,328.35900353644985,324.9628067599551,327.5365814817706,18000800,143.85980224609375,145.69365075326593,143.85980224609375,145.04959428320663,18136000,166.7169952392578,169.35000610351562,166.55850219726562,168.95599365234375,47830000,352.260009765625,360.6666564941406,351.5299987792969,357.8133239746094,40733700,334.28924560546875,341.335802716009,334.2097187670147,340.9183626406303,12870500,29.354135513305664,29.971940112811122,29.274290262971935,29.616627511446417,266530000,142.56715393066406,143.41345195524028,142.2160260438705,142.65717862029035,5805900,152.15882873535156,153.590835953955,152.12324299224008,153.45742334724798,4409500,210.2762451171875,211.50853025798213,209.09246371448302,210.37326739914866,4723300
